Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;total;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;q13;q14;freq;total_bin
4;2;2;1;1;5;1;3;4;3;3;4;3;1;37;1;0;0;0;0;1;0;0;1;0;0;1;0;0;6;4
4;1;6;1;1;5;3;5;4;2;5;4;4;4;49;1;0;1;0;0;1;0;1;1;0;1;1;1;1;3;9
3;4;1;3;2;4;1;2;4;2;3;2;3;1;35;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;3
2;1;1;1;2;3;1;3;1;4;1;4;5;3;32;0;0;0;0;0;0;0;0;0;1;0;1;1;0;6;3
3;4;3;2;2;4;1;4;4;3;4;5;3;3;45;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;6
4;1;2;1;1;4;1;2;4;3;3;5;1;1;33;1;0;0;0;0;1;0;0;1;0;0;1;0;0;6;4
3;2;5;3;3;3;5;1;1;2;3;1;1;1;34;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;2
4;5;5;1;1;5;4;4;3;3;3;5;1;4;48;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;8
5;4;3;2;5;4;1;2;5;3;5;3;1;2;45;1;1;0;0;1;1;0;0;1;0;1;0;0;0;3;6
5;4;3;4;5;4;3;1;4;1;4;4;1;4;47;1;1;0;1;1;1;0;0;1;0;1;1;0;1;1;9
1;2;4;1;2;2;3;3;4;1;2;2;2;1;30;0;0;1;0;0;0;0;0;1;0;0;0;0;0;10;2
2;1;1;2;1;3;1;3;3;3;3;4;3;1;31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;239;1
4;1;5;1;2;5;1;4;4;1;4;3;3;1;39;1;0;1;0;0;1;0;1;1;0;1;0;0;0;11;6
4;4;1;4;5;4;3;1;3;3;5;4;1;5;47;1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;8
4;3;1;1;1;4;1;3;3;4;3;3;3;1;35;1;0;0;0;0;1;0;0;0;1;0;0;0;0;2;3
3;1;1;1;2;3;1;3;3;1;3;2;3;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
3;1;1;1;3;3;3;1;1;3;1;2;1;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
5;1;5;1;3;3;3;3;3;3;4;4;3;1;42;1;0;1;0;0;0;0;0;0;0;1;1;0;0;4;4
4;3;4;1;2;5;5;3;4;3;4;3;3;3;47;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;6
1;1;1;1;1;1;1;3;3;1;3;2;3;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
1;1;5;2;2;1;2;4;3;3;3;2;4;1;34;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;3
6;3;3;1;5;6;3;3;3;2;3;3;4;3;48;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;4
3;1;4;1;1;3;1;5;5;3;5;3;5;1;41;0;0;1;0;0;0;0;1;1;0;1;0;1;0;2;5
4;3;5;3;4;4;2;1;4;1;4;1;1;4;41;1;0;1;0;1;1;0;0;1;0;1;0;0;1;1;7
4;3;5;3;1;5;1;3;3;5;3;6;4;3;49;1;0;1;0;0;1;0;0;0;1;0;1;1;0;2;6
1;1;5;1;1;2;1;4;3;4;4;3;4;1;35;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;5
3;4;4;1;1;2;1;4;4;1;3;3;1;1;33;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;4
2;2;1;1;1;2;3;4;4;3;4;1;3;4;35;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;4
4;3;3;3;4;4;3;4;3;3;4;2;3;2;45;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;5
4;1;4;1;3;1;1;3;4;1;5;1;2;1;32;1;0;1;0;0;0;0;0;1;0;1;0;0;0;6;4
3;1;4;3;1;4;3;1;3;1;3;5;3;1;36;0;0;1;0;0;1;0;0;0;0;0;1;0;0;17;3
6;2;5;3;1;5;3;6;6;5;6;5;5;3;61;1;0;1;0;0;1;0;1;1;1;1;1;1;0;7;9
4;1;2;1;5;3;1;3;2;3;2;3;3;3;36;1;0;0;0;1;0;0;0;0;0;0;0;0;0;25;2
2;1;1;3;1;2;1;4;3;3;1;4;2;1;29;0;0;0;0;0;0;0;1;0;0;0;1;0;0;29;2
4;1;5;1;1;4;3;3;1;4;1;4;5;1;38;1;0;1;0;0;1;0;0;0;1;0;1;1;0;2;6
4;4;5;2;2;5;3;1;5;5;5;3;3;3;50;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;7
3;3;4;2;2;3;1;1;3;2;1;1;1;1;28;0;0;1;0;0;0;0;0;0;0;0;0;0;0;102;1
2;1;3;1;2;3;1;4;3;2;4;2;2;1;31;0;0;0;0;0;0;0;1;0;0;1;0;0;0;11;2
4;1;5;1;5;4;4;1;3;1;3;4;1;2;39;1;0;1;0;1;1;1;0;0;0;0;1;0;0;2;6
4;5;1;2;5;3;1;5;5;2;5;4;3;2;47;1;1;0;0;1;0;0;1;1;0;1;1;0;0;1;7
4;1;4;1;1;3;1;1;2;1;2;1;1;2;25;1;0;1;0;0;0;0;0;0;0;0;0;0;0;54;2
4;4;2;3;3;4;3;3;3;3;4;3;3;3;45;1;1;0;0;0;1;0;0;0;0;1;0;0;0;3;4
3;1;5;1;1;2;1;4;4;3;5;4;5;1;40;0;0;1;0;0;0;0;1;1;0;1;1;1;0;4;6
2;1;4;1;1;4;1;4;3;2;4;3;3;1;34;0;0;1;0;0;1;0;1;0;0;1;0;0;0;3;4
4;4;4;3;4;4;1;3;3;3;2;1;1;3;40;1;1;1;0;1;1;0;0;0;0;0;0;0;0;4;5
1;1;1;1;2;3;2;4;2;3;2;4;3;1;30;0;0;0;0;0;0;0;1;0;0;0;1;0;0;29;2
4;1;4;1;1;4;3;3;3;1;3;3;1;1;33;1;0;1;0;0;1;0;0;0;0;0;0;0;0;66;3
3;4;2;1;1;3;1;4;4;3;4;3;3;2;38;0;1;0;0;0;0;0;1;1;0;1;0;0;0;4;4
5;1;1;2;6;4;5;3;3;2;3;3;3;1;42;1;0;0;0;1;1;1;0;0;0;0;0;0;0;2;4
1;1;3;1;1;1;1;1;3;1;3;1;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
1;1;1;1;2;1;1;1;1;1;1;5;1;1;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;239;1
1;1;1;2;2;3;2;3;1;4;1;1;3;1;26;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;1
6;2;5;1;4;4;1;5;4;1;3;1;3;3;43;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;6
3;1;3;3;2;3;2;1;1;1;3;2;1;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
4;4;1;2;3;4;1;3;4;4;3;4;1;4;42;1;1;0;0;0;1;0;0;1;1;0;1;0;1;2;7
1;1;1;1;1;1;3;2;3;3;3;2;1;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
4;2;5;1;3;4;3;6;5;3;4;3;3;3;49;1;0;1;0;0;1;0;1;1;0;1;0;0;0;11;6
2;3;4;1;1;3;1;4;4;3;3;4;4;1;38;0;0;1;0;0;0;0;1;1;0;0;1;1;0;2;5
4;1;4;1;4;4;3;4;1;4;2;4;1;2;39;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;7
4;2;5;1;1;4;1;4;3;4;2;4;4;1;40;1;0;1;0;0;1;0;1;0;1;0;1;1;0;2;7
2;2;1;1;1;3;1;5;4;4;4;4;5;2;39;0;0;0;0;0;0;0;1;1;1;1;1;1;0;26;6
4;4;5;3;2;5;3;5;5;5;5;5;6;2;59;1;1;1;0;0;1;0;1;1;1;1;1;1;0;6;10
4;1;1;1;1;4;3;3;1;1;1;2;1;1;25;1;0;0;0;0;1;0;0;0;0;0;0;0;0;50;2
3;1;3;3;4;3;1;3;4;4;4;3;3;1;40;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;4
1;1;1;1;1;1;1;4;1;3;1;3;3;2;24;0;0;0;0;0;0;0;1;0;0;0;0;0;0;60;1
1;1;1;2;2;2;1;4;4;4;4;4;4;3;37;0;0;0;0;0;0;0;1;1;1;1;1;1;0;26;6
3;2;1;1;1;3;3;6;4;5;3;3;5;3;43;0;0;0;0;0;0;0;1;1;1;0;0;1;0;3;4
3;1;4;1;3;4;1;1;3;2;1;3;2;1;30;0;0;1;0;0;1;0;0;0;0;0;0;0;0;35;2
4;2;1;1;1;4;1;4;3;3;4;1;3;1;33;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;4
2;1;1;1;2;3;1;2;4;3;5;3;2;1;31;0;0;0;0;0;0;0;0;1;0;1;0;0;0;49;2
2;1;1;1;1;2;2;4;1;2;1;1;3;1;23;0;0;0;0;0;0;0;1;0;0;0;0;0;0;60;1
2;3;1;1;2;1;3;2;3;3;3;3;2;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
4;1;4;1;3;4;1;5;4;3;4;3;4;2;43;1;0;1;0;0;1;0;1;1;0;1;0;1;0;2;7
4;1;5;1;2;5;3;3;4;3;5;3;2;2;43;1;0;1;0;0;1;0;0;1;0;1;0;0;0;6;5
1;3;1;1;2;3;1;3;3;2;4;4;1;1;30;0;0;0;0;0;0;0;0;0;0;1;1;0;0;27;2
3;3;3;1;1;4;1;3;1;2;3;1;1;4;31;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;2
4;1;4;2;2;5;1;1;1;1;1;3;1;1;28;1;0;1;0;0;1;0;0;0;0;0;0;0;0;66;3
1;1;1;3;2;3;1;1;1;1;1;1;1;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
4;4;3;1;4;2;3;2;3;2;3;6;3;3;43;1;1;0;0;1;0;0;0;0;0;0;1;0;0;4;4
4;2;4;2;1;2;1;4;3;2;2;1;3;1;32;1;0;1;0;0;0;0;1;0;0;0;0;0;0;5;3
4;3;4;1;4;3;1;4;4;4;4;3;4;2;45;1;0;1;0;1;0;0;1;1;1;1;0;1;0;3;8
4;1;4;1;3;4;3;1;3;3;3;4;3;1;38;1;0;1;0;0;1;0;0;0;0;0;1;0;0;19;4
2;2;1;3;1;3;1;2;4;4;4;2;3;1;33;0;0;0;0;0;0;0;0;1;1;1;0;0;0;5;3
2;2;1;1;1;3;1;1;1;1;1;3;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
4;1;5;1;4;4;3;1;1;4;1;6;4;1;40;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;7
3;1;1;2;3;3;1;3;3;3;3;1;2;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
5;2;4;3;4;5;3;1;3;1;4;1;2;3;41;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;5
4;2;3;1;1;5;1;4;4;3;5;3;3;1;40;1;0;0;0;0;1;0;1;1;0;1;0;0;0;6;5
3;3;4;1;1;4;1;3;3;2;2;1;1;1;30;0;0;1;0;0;1;0;0;0;0;0;0;0;0;35;2
1;4;3;3;4;4;4;1;2;3;1;5;1;2;38;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;5
4;1;1;1;5;5;2;2;2;3;1;3;2;2;34;1;0;0;0;1;1;0;0;0;0;0;0;0;0;15;3
2;2;4;1;1;3;1;5;4;4;3;4;5;2;41;0;0;1;0;0;0;0;1;1;1;0;1;1;0;2;6
3;2;3;1;1;1;1;3;3;3;4;3;3;2;33;0;0;0;0;0;0;0;0;0;0;1;0;0;0;52;1
1;1;1;1;3;1;1;1;1;1;1;3;1;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
1;1;1;3;1;2;4;3;1;3;1;1;1;1;24;0;0;0;0;0;0;1;0;0;0;0;0;0;0;22;1
4;3;1;1;2;3;3;2;3;2;3;2;4;3;36;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2
3;2;3;3;3;3;4;1;2;1;1;1;1;1;29;0;0;0;0;0;0;1;0;0;0;0;0;0;0;22;1
1;1;1;1;1;2;1;4;3;3;2;3;3;1;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;60;1
4;1;1;1;4;4;3;4;4;3;5;3;3;1;41;1;0;0;0;1;1;0;1;1;0;1;0;0;0;2;6
2;1;1;1;1;3;1;2;3;1;4;4;2;1;27;0;0;0;0;0;0;0;0;0;0;1;1;0;0;27;2
1;1;1;1;1;1;1;3;1;1;1;1;1;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0
2;2;3;1;1;3;1;4;5;3;6;2;4;1;38;0;0;0;0;0;0;0;1;1;0;1;0;1;0;8;4
1;2;1;1;1;1;1;3;4;3;3;3;4;2;30;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;2
3;3;4;3;1;3;3;2;3;3;4;5;4;2;43;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;4
1;1;1;1;3;2;1;2;1;3;4;2;3;1;26;0;0;0;0;0;0;0;0;0;0;1;0;0;0;52;1
4;2;1;1;1;4;1;6;3;3;4;3;5;2;40;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;5
